file_index,filename,总分,文件长度得分,代码重复率得分,关键词得分,有效代码得分,多样性得分,分数段,content
    error('Wrong number of input arguments');
end
if nargin < 3 || isempty(cg_moment)
    cg_moment = 'mean';    
end
if nargin < 4 || isempty(cg_method)
    cg_method = 'fir';   
end


L = length(data);
J = fix(L/tau);




if tau < 1
    error('The scale factor must be a positive integer number');
elseif tau == 1
    switch cg_method
        case 'fir'
            scaledData = data; % return orignal series
        case 'butter'
            undec_scaledData = data;
            scaledData= data;        
    end
    return
else
    switch cg_method
        case 'fir' 
            for idx = 1:J
                switch cg_moment
                    case 'mean'
                        scaledData(idx) = mean(data((idx-1)*tau+1:idx*tau));
                    case 'variance'
                        scaledData(idx) = var(data((idx-1)*tau+1:idx*tau));
                    otherwise % still use mean
                        scaledData(idx) = mean(data((idx-1)*tau+1:idx*tau));                
                end
            end
            
        case 'butter'
            fs = 1;        % sample frequency 1Hz
            fn = fs/2;     % Nyquist frequency
            fc = fn/tau;   % cutoff frequency in function of the scale
            [b,a] = butter(6,fc/fn); % Butterworth low pass filter order 6,
            undec_scaledData = filter(b,a,data);     %series filtered and without decimate
            idxd=tau:tau:length(data);                       %index to do decimate
            scaledData = undec_scaledData(idxd);    %series filtered and with decimate
            clear a b idxd fc
        

    end
end"
3,coarsen3.m,82.926,80,86.92,90,100.0,57.71,80-90,"function [node,elem,bdFlag,HB,indexMap,tree]= ...
         coarsen3(node,elem,markedElem,bdFlag,HB)

tree = []; 
indexMap  = (1:size(node,1))'; % default output
if isempty(markedElem), return; end
if strcmp(markedElem,'all'), markedElem = (1:size(elem,1))'; end

N = size(node,1); 
NT = size(elem,1);
generation = zeros(N,1);
generation(HB(:,1)) = HB(:,4);
valence = accumarray(elem(:),ones(4*NT,1),[N 1]);
valenceNew = accumarray(elem(:,4),ones(NT,1), [N 1]);
valenceMarked = accumarray(elem(markedElem,4),ones(length(markedElem),1),[N 1]);
isGoodNode = (valence == valenceNew) ... coarsen new added vertex
           & (valenceNew == valenceMarked) ... all elements of new vertex are marked
           & (generation>0); % not coarsen the initial grid.
if ~any(isGoodNode)
    return
end
t = find(isGoodNode(elem(:,4))); % all elements contaning good nodes

if exist('bdFlag','var') && ~isempty(bdFlag)
    bdElem = t(bdFlag(t,4)~=0);
    if ~isempty(bdElem)
        isBdGoodNode = false(N,1);
        isBdGoodNode(elem(bdElem,4)) = true;
        bdElem = t(isBdGoodNode(elem(t,4)));
        T = auxstructure3(elem(bdElem,:));  % only the structure of bdElem
        leftNode = HB(elem(bdElem,4),2);
        for k = 1:3
            kidx = (elem(bdElem,k)==leftNode); % idx of bdElem
            tl = bdElem(kidx);                 % left element
            tr = bdElem(T.neighbor(kidx,k));   % matched neighbor 
            bdFlag(tl,k) = bdFlag(tr,4);    
        end
    end
else
	bdFlag=[];
end

leftNode = HB(elem(t,4),2);
idx = (elem(t,1)==leftNode) | (elem(t,2)==leftNode) | (elem(t,3)==leftNode);
tl = t(idx); 
tr = t(~idx);
if length(tl) ~= length(tr)
    error('The mesh is not obtained by bisect3');
end
Nl = length(tl); % number of refined elements
leftNode = HB(elem(tl,4),2);
rightNode = HB(elem(tr,4),3);
temptl = zeros(Nl,2);   
idx = (elem(tl,1) == leftNode);
temptl(idx,:) = elem(tl(idx),[2 3]);
idx = (elem(tl,2) == leftNode);
temptl(idx,:) = elem(tl(idx),[1 3]);
idx = (elem(tl,3) == leftNode);
temptl(idx,:) = elem(tl(idx),[1 2]);
temptl = sort(temptl,2);
temptr = zeros(Nl,2);
idx = (elem(tr,1) == rightNode);
temptr(idx,:) = elem(tr(idx),[2 3]);
idx = (elem(tr,2) == rightNode);
temptr(idx,:) = elem(tr(idx),[1 3]);
idx = (elem(tr,3) == rightNode);
temptr(idx,:) = elem(tr(idx),[1 2]);
temptr = sort(temptr,2);
[temptl, Il] = sortrows([temptl elem(tl,4)]); %#ok<*ASGLU>
[temptr, Ir] = sortrows([temptr elem(tr,4)]);
tl = tl(Il);
tr = tr(Ir);
tree = zeros(Nl,3);
tree(:,1) = tl;
tree(:,2) = tl;
tree(:,3) = tr;
elem(tl,4) = HB(elem(tl,4),3);

if (length(tl)==1)
    idx = max(transpose(generation(elem(t1,:)))); 
else
    [tempvar,idx] = max(generation(elem(tl,:)),[],2); 
end
elem(tl((idx==1)),1:4) = elem(tl((idx==1)),[2 4 3 1]);
elem(tl((idx==2)),1:4) = elem(tl((idx==2)),[3 4 1 2]);
elem(tl((idx==3)),1:4) = elem(tl((idx==3)),[4 2 1 3]);
if exist('bdFlag','var') && ~isempty(bdFlag)
    bdFlag(tl((idx==1)),1:4) = bdFlag(tl((idx==1)),[2 4 3 1]);
    bdFlag(tl((idx==2)),1:4) = bdFlag(tl((idx==2)),[3 4 1 2]);
    bdFlag(tl((idx==3)),1:4) = bdFlag(tl((idx==3)),[4 2 1 3]);
end

elem(tr,:) = [];
inCoarse = true(NT,1);
inCoarse(tr) = false;
elemidxMap = zeros(NT,1);
elemidxMap(inCoarse) = 1:size(elem,1); 
tree(:,1) = elemidxMap(tree(:,1));
if (nargin==5) && ~isempty(bdFlag)
    bdFlag(tr,:) = [];
end
node(isGoodNode,:) = [];
HB(isGoodNode,:) = [];
indexMap = zeros(N,1);
indexMap(~isGoodNode) = 1:size(node,1);
elem = indexMap(elem);
HB(:,1:3) = indexMap(HB(:,1:3));"
4,coarsenAMGa.m,86.33,100,82.28,100,100.0,49.37,80-90,"function [node2agg,As] = coarsenAMGa(A,theta)

if ~exist('theta','var'), theta = 0.025; end
N = size(A,1);
isC = false(N,1);       % C: coarse node
N0 = min(sqrt(N),25);   % number of the coarest nodes

node2agg = zeros(N,1);
agg2node = zeros(N,1);

Dinv = spdiags(1./sqrt(diag(A)),0,N,N);
Am = Dinv*A*Dinv;       % normalize diagonal of A
[im,jm,sm] = find(Am); 
idx = (-sm > theta);    % delete weakly connect off-diagonal and diagonal
As = sparse(im(idx),jm(idx),sm(idx),N,N); % matrix for strong connectness
As = As + speye(N);    % add diagonal
As1 = spones(As);      % graph of As
As2 = triu(As1*As1,1); % edges of the graph corresponding to As^2

deg = full(transpose(sum(As1))); % number of strongly connected neighbors
if sum(deg>0) < 0.25*sqrt(N)  % too few connected nodes e.g. A is mass matrix
    isC(ceil(rand(N0,1)*N)) = true; % randomly chose N0 nodes
    agg2node = find(isC);
    node2agg(isC) = (1:length(agg2node))';
    return                    % smoother is a good preconditioner
end           
idx = (deg>0);
deg(idx) = deg(idx) + 0.1*rand(sum(idx),1); % break the equal degree case

isC = false(N,1);       % C: coarse node
isF = false(N,1);       % F: fine node
isU = true(N,1);        % U: undecide node
isS = true(N,1);        % S: selected node
isF(deg == 0) = true;   % isolated nodes are added into F set
aggN = 0;               % aggregrate number
while aggN < N/2 && sum(isS) >N0 
    isS = false(N,1);  % S: selected set, changing in the coarsening
    isS(deg>0) = true;
    S = find(isS); 
    
    [i,j] = find(As2(S,S));   % i,j and i<j: edges of subgraph S
    idx = deg(S(i)) >= deg(S(j));     % compare degree of vertices
    isS(S(j(idx))) = false;  % remove vertices with smaller degree 
    isS(S(i(~idx))) = false; % if degrees are equal, keep the nodes with smaller index 
    isC(isS) = true;                % set selected nodes as coarse nodes
    
    newC = find(isS);
    newAgg = aggN+(1:length(newC));
    aggN = aggN + length(newC);
    node2agg(newC) = newAgg;  
    agg2node(newAgg) = newC;
    
    U = find(isU);
    [i,j] = find(As(isU,newC)); %#ok<*NASGU> use original connectivity
    isF(U(i)) = true;        % neighbor of C nodes are F nodes
    isU = ~(isF | isC);      % U: undecided set
    node2agg(U(i)) = node2agg(newC(j)); % add neighbors into the same aggregate
    deg(newC) = 0;           % remove new selected coarse grid nodes
    deg(U(i)) = 0;           % remove neighbors of new selected coarse grid nodes
    U = find(isU);
    [i,j] = find(As(U,isF)); % find neighbor of fine nodes
    deg(U(i)) = 0;              % remove neighbors of existing agg
    
end
agg2node = agg2node(1:max(node2agg));

while any(isU)
    U = find(isU);           % undecided nodes
    [i,j] = find(As(:,isU)); %#ok<*NASGU> neighboring nodes of U
    neighborAgg = node2agg(i);% agg number of neighbors
    idx = (neighborAgg > 0);  % a interior nodes could be left
    [nAgg,neighborAgg] = max(sparse(neighborAgg(idx),j(idx),1));   
    isbdU = (nAgg > 0);      % find undecided nodes next to 
    bdU = U(isbdU);          % the boundary of aggregates
    node2agg(bdU) = neighborAgg(isbdU); % assgin the aggregate number 
    isF(bdU) = true;
    isU(bdU) = false;
    
end"
5,coarsenAMGc.m,89.362,100,80.85,100,100.0,65.96,80-90,"function [isC,G] = coarsenAMGc(A,theta)

if ~exist('theta','var'), theta = 0.025; end
N = size(A,1);
isC = false(N,1);       % C: coarse node
N0 = min(floor(sqrt(N)),25);   % number of the coarest nodes

Dinv = spdiags(1./sqrt(diag(A)),0,N,N);
Am = Dinv*A*Dinv;       % normalize diagonal of A
[im,jm,sm] = find(Am); 
idx = (-sm > theta);    % delete weakly connect off-diagonal and diagonal
G = sparse(im(idx),jm(idx),sm(idx),N,N); % matrix for strong connectness


deg = sum(spones(G)); % number of strongly connected neighbors
deg = full(deg');
if sum(deg>0) < 0.25*sqrt(N)   % too few connected nodes e.g. A is mass matrix
    isC(ceil(rand(N0,1)*N)) = true; % randomly chose N0 nodes
    return                    % smoother is a good preconditioner
end           
idx = (deg>0);
deg(idx) = deg(idx) + 0.1*rand(sum(idx),1); % break the equal degree case so

isF = false(N,1);       % F: fine node
isF(deg == 0) = true;   % isolated nodes are added into F set
isU = true(N,1);        % U: undecided set
while sum(isC) < N/2 && sum(isU) > N0
    isS = false(N,1);   % S: selected set, changing in the coarsening 
    isS(deg>0) = true;  % deg will be set to zero for nodes in C and F
    S = find(isS); 

    [i,j] = find(triu(G(S,S),1));  % i,j and i<j: edges of subgraph S
    idx = deg(S(i)) >= deg(S(j));   % compare degree of connected vertices
    isS(S(j(idx))) = false;         % remove vertices with smaller degree 
    isS(S(i(~idx))) = false;        % if degrees are equal, keep the nodes with smaller index
    isC(isS) = true;                % set selected nodes as coarse nodes

    [i,j] = find(G(:,isC)); %#ok<*NASGU>
    isF(i) = true;        % neighbor of C nodes are F nodes
    isU = ~(isF | isC);   
    deg(~isU) = 0;        % remove current C and F from the graph  
    
    if sum(isU) <= N0     % add small undecided nodes into C nodes
        isC(isU) = true;
        isU = [];         % to exit the while loop;
    end
end"
6,coarsenAMGdoc.m,86.866,100,82.09,100,100.0,52.24,80-90,"clear all
help coarsenAMGc

[node,elem] = squaremesh([0,1,0,1],1/8);
[A,M] = assemblematrix(node,elem);

theta = 0.025;
N = size(A,1);
N0 = min(sqrt(N),50);       % number of the coarest nodes

D = spdiags(1./sqrt(diag(A)),0,N,N);
Am = D*A*D;  % normalize diagonal of A
[im,jm,sm] = find(Am); 
idx = (-sm > theta);   % delete weakly connect off-diagonal and diagonal
As = sparse(im(idx),jm(idx),sm(idx),N,N); % matrix for strong connectness

deg = sum(spones(As)); % number of strongly connected neighbors
deg = full(deg');
if sum(deg>0) < 0.1*sqrt(N)   % too few connected nodes e.g. A is mass matrix
    isC(round(rand(N0,1)*N)) = true; % randomly chose N0 nodes
    return                    % smoother is a good preconditioner
end           
idx = (deg>0);
deg(idx) = deg(idx) + 0.1*rand(sum(idx),1); % break the equal degree case

isC = false(N,1);       % C: coarse node
isF = false(N,1);       % F: fine node
isU = true(N,1);        % S: selected set
isF(deg == 0) = true;   % isolated nodes are added into F set
close all;
set(gcf,'Units','normal'); 
set(gcf,'Position',[0.5,0.5,0.5,0.5]);
showmesh(node,elem); 
findnode(node,isU,'noindex','Color','k','MarkerSize',32)
m = 1;
while sum(isC) < N/2 && sum(isU) >N0 
    isS = false(N,1);  % S: selected set, changing in the coarsening
    isS(deg>0) = true;
    S = find(isS); 
    fprintf('Coarsening ... \\n');
    
    [i,j] = find(triu(As(S,S),1));    % i,j and i<j: edges of subgraph S
    idx = deg(S(i)) >= deg(S(j));     % compare degree of vertices
    isS(S(j(idx))) = false;  % remove vertices with smaller degree 
    isS(S(i(~idx))) = false; 
    isC(isS) = true;
    findnode(node,isS,'noindex','Color','m');
    fprintf('Number of chosen points: %6.0u\\n',sum(isS));
    snapnow
    
    [i,j] = find(As(:,isC)); %#ok<*NASGU>
    isF(i) = true;        % neighbor of C nodes are F nodes
    isU = ~(isF | isC);   % U: undecided set
    deg(~isU) = 0;        % remove current C and F from the graph
    
    if sum(isU) <= N0   % add small undecided nodes into C nodes
        isC(isU) = true;
        isU = [];       % to exit the while loop;
    end
    showmesh(node,elem); 
    findnode(node,isU,'noindex','Color','k','MarkerSize',32)
    findnode(node,isF,'noindex','Color','y','MarkerSize',32)
    findnode(node,isC,'noindex','Color','r','MarkerSize',36); 
    snapnow
    m = m + 1;
end
fprintf('Apply %2.0u times and Number of Coarse Nodes: %6.0u\\n',m,sum(isC));"
7,coarsenAMGrs.m,81.842,100,80.26,75,100.0,53.95,80-90,"function [Ac,Pro,Res] = coarsenAMGrs(A,theta)


if nargin<2, theta = 0.025; end

N = size(A,1);
maxaij = min(A); % max of negative of off-diagonals
D = spdiags(1./abs(maxaij'),0,N,N);
Am = D*A;

[im,jm,sm] = find(Am); 
idx = (-sm > theta); % delete weak connectness and diagonal
As = sparse(im(idx),jm(idx),1,N,N); % asymmetric matrix for directed graph
Am = sparse(im(idx),jm(idx),sm(idx),N,N);
Ass = (As + As')/2;  % symmetric matrix for the undirected graph


isF = false(N,1);     % F: fine node
degIn = sum(As);      % number of vertices strong connected to
degIn = full(degIn');
isF(degIn == 0) = true; % isolated nodes are fine nodes

isC = false(N,1);       % C: coarse node
U = (1:N)';             % U: undecided node
degFin = zeros(N,1);    % number of F nodes strong connected to
while sum(isC) < N/2 && length(U)>20
    isS = false(N,1);  % S: selected set, changing in the coarsening
    degInAll = degIn + degFin;
    isS((rand(N,1) < 0.85*degInAll/mean(degInAll)) & (degInAll>0)) = true; 
    S = find(isS); % transfer index for S to U

    [i,j] = find(triu(Ass(S,S),1));    % i,j: index for S
    idx = degInAll(S(i)) >= degInAll(S(j)); % compare degree of vertices
    isS(S(j(idx))) = false; % remove vertices with smaller degree 
    isS(S(i(~idx))) = false;
    isC(isS) = true;


    [i,j] = find(Ass(:,isC)); %#ok<*NASGU>
    isF(i) = true;
    U = find(~(isF | isC)); % the rest is undecided
    
    degIn(isF | isC) = 0;    % 
    degFin = zeros(N,1);
    degFin(U) = full(sum(As(isF,U))); % strong connectness with F points
    
    if length(U) <= 20 % add left nodes into C nodes
        isC(U) = true;
        U = [];       % to exit the while loop;
    end
end
fprintf('Number of coarse nodes: %6.0u\\n',sum(isC));

allNode = (1:N)';
fineNode = allNode(~isC);
Nf = length(fineNode);
Nc = N-length(fineNode);
coarseNode = (1:Nc)';
coarse2fine = find(isC);
fine2coarse = zeros(N,1);
fine2coarse(isC) = coarseNode;
ip = coarse2fine; 
jp = coarseNode;
sp = ones(Nc,1);

Afc = Am(fineNode,coarse2fine);
Dsum = sum(Afc,2);
Dsum = spdiags(1./Dsum, 0, Nf, Nf);
[ti,tj,tw] = find(Dsum*Afc);
ip = [ip; fineNode(ti)];  % fine node index
jp = [jp; tj]; % coarse node index
sp = [sp; tw];
Pro = sparse(ip,jp,sp,N,Nc);
Res = Pro';

Ac = Res*A*Pro;"
8,coarsen_polygon.m,87.058,100,76.47,100,100.0,58.82,80-90,"function polyobj = coarsen_polygon(polyobj,iboubox)
idx = find(isnan(polyobj(:,1)));
C = mat2cell(polyobj,diff([0;idx]),2);
new = cell(length(C),1);
for iii = 1 : length(C)
    j = 0 ; k = 0;
    [in] = inpoly(C{iii},iboubox(1:end-1,:));
    new{iii} = zeros(length(C{iii}),2);
    while j < length(C{iii})-1
        j = j + 1 ;
        if in(j) % point is in domain keep it
            k = k + 1;
            new{iii}(k,:) = C{iii}(j,:);
        else % pt is out of domain
            bd = min([j+200,length(in)-1]) ;
            exte = min(200,bd - j);
            if sum(in(j:bd))==0 % if next hundred points are out, then we can decimate
                k = k + 1 ;
                new{iii}(k,:) = C{iii}(j,:);
                k = k + 1 ;
                new{iii}(k,:) = C{iii}(j+exte,:);
                j = j + exte ;
            else % otherwise keep
                k = k + 1 ;
                new{iii}(k,:) = C{iii}(j,:);
            end
            
        end
    end
    new{iii}(k+1,:) = [NaN NaN] ;
    new{iii}(k+2:end,:) = [];
end
polyobj = cell2mat(new);
end"
9,coarse_alignment.m,89.2,100,88.0,100,100.0,58.0,80-90,"function navdata = coarse_alignment(imudata, blh, filename, level, method);
if (exist('level','var')==0 | nargin<4) level = 10; method = 1; end; 
if (isempty(level)) level = 10; end;
if (isempty(method)) method = 2; end;
sample_interval = mean(diff(imudata(:,1)));
sample_rate = floor(1.0/sample_interval+0.5);
if (~isempty(blh))
    if (abs(blh(1))>2*pi && abs(blh(2))>2*pi)   % deg
        blh(1) = blh(1)*pi/180;
        blh(2) = blh(2)*pi/180;
    end
else
    method = 1;
    blh(1) = 39*pi/180;
    blh(2) =-83*pi/180;
    blh(3) = 0.0;
end
[n,m] = size(imudata);
if (level>0)
    for i=2:m
        imudata(:,i) = imuwavedenoise(imudata(:,i), level);
    end
end
index = 0;
numofsec = floor(n/sample_rate);
grav_mag = sqrt(imudata(1,2)*imudata(1,2)+imudata(1,3)*imudata(1,3)+imudata(1,4)*imudata(1,4));
if (grav_mag<0.5*9.8) imudata(:,2:4) = imudata(:,2:4)*sample_rate; end;
switch (method)
    case 1
        att = coarsealign1(imudata,         sample_rate);
    case 2
        att = coarsealign2(imudata, blh(1), sample_rate);
    case 3      
        att = coarsealign3(imudata, blh(1), sample_rate);
    otherwise
        att = coarsealign1(imudata,        sample_rate);
end        
navdata = [att(:,1) ones(size(att,1),1)*blh(1) ones(size(att,1),1)*blh(2) ones(size(att,1),1)*blh(3) zeros(size(att,1),3) att(:,2) att(:,3) att(:,4)];
m = zeros(3,1);
s = zeros(3,1);
for i=1:3
    [m(i),s(i)] = statsangle(navdata(:,i+7));
end
m = m*180/pi;
s = s*180/pi;
if (~isempty(filename)) 
    fout = fopen(filename,'wb');
    fwrite(fout,navdata','double');
    fclose(fout);
end"
10,COAWST_isosurface_movie.m,84.728,100,94.55,60,100.0,69.09,80-90,"url='http://geoport.whoi.edu/thredds/dodsC/coawst_2_2/fmrc/coawst_2_2_best.ncd';
var='temp';
movie_name='coawst_iso'
isoval=10;  % isosurface_value
nhours=90*24;  % how many hours back from current time
nsub=25;  % subsample in hours
titl='COAWST 10 degree Temperature Isosurface';
vert_exag=200; % vertical exaggertation for plot
lon_range=[-71.4 -63];lat_range=[41 46];
hstride=2; % stride in lon/lat space (e.g. hstride=2 => every other point)
jd=now_utc; % gets the current time in UTC

disp(['Opening dataset ' url '...'])
nc=ncgeodataset(url);
jd=nj_time(nc,var);   % hourly data
ii=[(length(jd)-nhours):nsub:length(jd)];
uvar=nc.geovariable(var);
vidobj=VideoWriter(movie_name); %creates AVI file, test.avi 
open(vidobj);
fig=figure(1);
urlc='http://geoport.whoi.edu/thredds/dodsC/usgs/vault0/data/coast/gom_coast.nc';
ncc=ncgeodataset(urlc);lonc=ncc{'lon'}(:);latc=ncc{'lat'}(:);

for i=1:length(ii)
  disp(['Extracting subsetted data...'])
  iii=ii(i);
  s.t_index=iii;
  s.lon=lon_range;
  s.lat=lat_range;
  s.h_stride=[hstride hstride]
  tic;
  if(i==1)
    us=uvar.geosubset(s);
    data=us.data;
    grid=us.grid;
    ind=us.indices;
    tocs(i)=toc;
  else
    data=nc{var}(iii,ind{2},ind{3},ind{4});
    tocs(i)=toc;
  end
  iso_plot(data,grid,isoval,vert_exag)
  line(lonc,latc,zeros(size(lonc)),'color','black');
  set(gca,...
  'PlotBoxAspectRatio',[1.16666666666667 1.35866104619474 0.675000675000675],...
  'DataAspectRatio',[1 0.736018746397965 555.555],...
  'CameraViewAngle',3.3377073141751,...
  'CameraUpVector',[0 0 1],...
  'CameraTarget',[-65.7780743350319 41.0728486210621 -1230.73456512896],...
  'CameraPosition',[-136.210169005214 74.7377109586742 42276.5651353494]);
  title(sprintf('%s:%s',titl,datestr(jd(iii))),'position',[-72.3 43.9 0]);
  F=getframe(fig);
  writeVideo(vidobj,F);
end
close(vidobj);"
11,CoBlade_init.m,82.638,100,68.12,90,100.0,55.07,80-90,"function [SIM, ANLS, OPT, ENV, BLADE, WEB, OUT, MATS, AF, Coord] = CoBlade_init(inputFile)

SIM.version = '2.0.0_rc1';

[SIM.pathStr SIM.case SIM.inpExt]      = fileparts(inputFile);
SIM.inputFile                          = [pwd filesep 'Inputs' filesep SIM.case SIM.inpExt];
[SIM, ANLS, OPT, ENV, BLADE, WEB, OUT] = readInput_CoBlade(SIM);

SIM.rootDir     = pwd;
SIM.sourceDir   = [pwd filesep 'Source'];
SIM.airfoilDir  = [SIM.rootDir filesep 'Inputs'  filesep 'Airfoil_Data'];
SIM.materialDir = [SIM.rootDir filesep 'Inputs'  filesep 'Material_Data'];
SIM.laminateDir = [SIM.rootDir filesep 'Inputs'  filesep 'Laminate_Data'];
SIM.optimDir    = [SIM.rootDir filesep 'Inputs'  filesep 'Optimization_Data'];
SIM.outputDir   = [SIM.rootDir filesep 'Outputs' filesep SIM.case];
SIM.logfile     = [SIM.outputDir filesep SIM.case '_Log.txt'];
SIM.matfile     = [SIM.outputDir filesep SIM.case '.mat'];

checkInpErrors(ANLS,OPT,ENV,BLADE,WEB)

if exist([SIM.rootDir filesep 'Outputs'],'dir') == 0
    mkdir([SIM.rootDir filesep 'Outputs']);
end
if exist(SIM.outputDir,'dir') == 7
    rmdir(SIM.outputDir,'s');
    mkdir(SIM.outputDir);
else
    mkdir(SIM.outputDir);
end

diary(SIM.logfile);
fprintf(1, '\\n\\n Executing case %s with Co-Blade v%s.\\n', SIM.case, SIM.version);

rng(SIM.RAND_SEED);

copyfile([SIM.inputFile],[SIM.outputDir filesep SIM.case '_echo' SIM.inpExt]);

SIM.BmodesExe = [SIM.rootDir filesep 'Source' filesep 'BModes.exe'];
if exist(SIM.BmodesExe) == 0
    error(['ERROR: could not find BModes executable ' SIM.BmodesExe])
end
if ANLS.N_MODES > 0 % then we will use BModes
    copyfile(SIM.BmodesExe,SIM.outputDir);
end

MATS = readMaterialsFile(SIM,BLADE,OPT);

AF.OrigNormAFcoords = readAirfoilCoordFiles(SIM, BLADE);
AF.NormAFcoords     = interpAirfoilCoords(AF.OrigNormAFcoords, BLADE);	% structure array of the interpolated chord normalized airfoil x-y coordinates, in the reference airfoil coordinate system

Coord = defineCoordSystems(BLADE);

existWeb = zeros(BLADE.NUM_SEC, WEB.NUM_WEBS);
if OPT.OPTIMIZE
    existWeb(OPT.INB_STN:OPT.OUB_STN,:) = 1;    
else
    for n = 1:WEB.NUM_WEBS
        existWeb(WEB.inbStn(n):WEB.oubStn(n),n) = 1;
    end
end
WEB.nWebs    = sum(existWeb,2);
BLADE.nCells = WEB.nWebs + 1;
BLADE.zSec   = BLADE.zFrac .* BLADE.BLD_LENGTH; % z-coordinate in blade coordinate system (m)

if OPT.OPT_PITAXIS
    BLADE.pitAxis = definePitchAxis(BLADE, OPT);
end

end % function CoBlade_init"
12,cochleagram.m,81.092,60,72.73,100,100.0,72.73,80-90,"function a = cochleagram(r, winLength, winShift)

if nargin < 2
    winLength = 320;      % default window length in sample points which is 20 ms for 16 KHz sampling frequency
end
    
[numChan,sigLength] = size(r);     % number of channels and input signal length

increment = winLength/winShift;    % special treatment for first increment-1 frames
M = floor(sigLength/winShift);     % number of time frames

a = zeros(numChan,M);
for m = 1:M      
    for i = 1:numChan
        if m < increment        % shorter frame lengths for beginning frames
            a(i,m) = r(i,1:m*winShift)*r(i,1:m*winShift)';
        else
            startpoint = (m-increment)*winShift;
            a(i,m) = r(i,startpoint+1:startpoint+winLength)*r(i,startpoint+1:startpoint+winLength)';
        end
    end
end"
13,codeAPara.m,88.0,100,83.33,90,100.0,66.67,80-90,"name        ='SBBGK1d'; % Simulation Name
CFL         = 0.05;     % CFL condition
r_time      = 1/1000;  % Relaxation time
tEnd        = 0.1;      % End time
theta       = 0;        % {-1} BE, {0} MB, {1} FD.
quad        = 2;        % for NC = 1 , GH = 2
method      = 1;        % for TVD = 1, WENO3 = 2, WENO5 = 3
IC_case     = 1;        % IC: {1}Sod's, {2}LE, {3}RE, {4}DS, {5}SS, {6}Cavitation
plot_figs   = 1;        % 0: no, 1: yes please!
write_ans   = 1;        % 0: no, 1: yes please!
RRR=8.314;
P_deg       = 0;        % Polinomial Degree
Pp          = P_deg+1;  % Polinomials Points
RK_stages   = 4;        % Number of RK stages

gamma = 2.5; %1.4;        % Ratio of specific heats
 etpfix   = 0.90;	% {#} Harten's sonic entropy fix value, {0} no entropy fix
[MB_r,u,MB_p] = Euler_IC1d(x,1);
switch quad

    case{1} % Newton Cotes Quadrature:
    V  = [-20,20];  % range: a to b
    nv = 200;       % nodes desired (may not the actual value)
    [v,w,k] = cotes_xw(V(1),V(2),nv,5); % Using Netwon Cotes Degree 5
        
    case{2} % Gauss Hermite Quadrature:
    nv = 60;          % nodes desired (the actual value)
    [v,w] = GaussHermite(nv); % for integrating range: -inf to inf
    k = 1;            % quadrature constant.
