file_index,file_name,language,content,score
9,coarse_alignment.m,matlab,"function navdata = coarse_alignment(imudata, blh, filename, level, method);
if (exist('level','var')==0 | nargin<4) level = 10; method = 1; end; 
if (isempty(level)) level = 10; end;
if (isempty(method)) method = 2; end;
sample_interval = mean(diff(imudata(:,1)));
sample_rate = floor(1.0/sample_interval+0.5);
if (~isempty(blh))
    if (abs(blh(1))>2*pi && abs(blh(2))>2*pi)   % deg
        blh(1) = blh(1)*pi/180;
        blh(2) = blh(2)*pi/180;
    end
else
    method = 1;
    blh(1) = 39*pi/180;
    blh(2) =-83*pi/180;
    blh(3) = 0.0;
end
[n,m] = size(imudata);
if (level>0)
    for i=2:m
        imudata(:,i) = imuwavedenoise(imudata(:,i), level);
    end
end
index = 0;
numofsec = floor(n/sample_rate);
grav_mag = sqrt(imudata(1,2)*imudata(1,2)+imudata(1,3)*imudata(1,3)+imudata(1,4)*imudata(1,4));
if (grav_mag<0.5*9.8) imudata(:,2:4) = imudata(:,2:4)*sample_rate; end;
switch (method)
    case 1
        att = coarsealign1(imudata,         sample_rate);
    case 2
        att = coarsealign2(imudata, blh(1), sample_rate);
    case 3      
        att = coarsealign3(imudata, blh(1), sample_rate);
    otherwise
        att = coarsealign1(imudata,        sample_rate);
end        
navdata = [att(:,1) ones(size(att,1),1)*blh(1) ones(size(att,1),1)*blh(2) ones(size(att,1),1)*blh(3) zeros(size(att,1),3) att(:,2) att(:,3) att(:,4)];
m = zeros(3,1);
s = zeros(3,1);
for i=1:3
    [m(i),s(i)] = statsangle(navdata(:,i+7));
end
m = m*180/pi;",12.73
10,COAWST_isosurface_movie.m,matlab,"url='http://geoport.whoi.edu/thredds/dodsC/coawst_2_2/fmrc/coawst_2_2_best.ncd';
var='temp';
movie_name='coawst_iso'
isoval=10;  % isosurface_value
nhours=90*24;  % how many hours back from current time
nsub=25;  % subsample in hours
titl='COAWST 10 degree Temperature Isosurface';
vert_exag=200; % vertical exaggertation for plot
lon_range=[-71.4 -63];lat_range=[41 46];
hstride=2; % stride in lon/lat space (e.g. hstride=2 => every other point)
jd=now_utc; % gets the current time in UTC

disp(['Opening dataset ' url '...'])
nc=ncgeodataset(url);
jd=nj_time(nc,var);   % hourly data
ii=[(length(jd)-nhours):nsub:length(jd)];
uvar=nc.geovariable(var);
vidobj=VideoWriter(movie_name); %creates AVI file, test.avi 
open(vidobj);
fig=figure(1);
urlc='http://geoport.whoi.edu/thredds/dodsC/usgs/vault0/data/coast/gom_coast.nc';
ncc=ncgeodataset(urlc);lonc=ncc{'lon'}(:);latc=ncc{'lat'}(:);

for i=1:length(ii)",34.12
11,CoBlade_init.m,matlab,"function [SIM, ANLS, OPT, ENV, BLADE, WEB, OUT, MATS, AF, Coord] = CoBlade_init(inputFile)

SIM.version = '2.0.0_rc1';

[SIM.pathStr SIM.case SIM.inpExt]      = fileparts(inputFile);
SIM.inputFile                          = [pwd filesep 'Inputs' filesep SIM.case SIM.inpExt];
[SIM, ANLS, OPT, ENV, BLADE, WEB, OUT] = readInput_CoBlade(SIM);

SIM.rootDir     = pwd;
SIM.sourceDir   = [pwd filesep 'Source'];
SIM.airfoilDir  = [SIM.rootDir filesep 'Inputs'  filesep 'Airfoil_Data'];
SIM.materialDir = [SIM.rootDir filesep 'Inputs'  filesep 'Material_Data'];
SIM.laminateDir = [SIM.rootDir filesep 'Inputs'  filesep 'Laminate_Data'];
SIM.optimDir    = [SIM.rootDir filesep 'Inputs'  filesep 'Optimization_Data'];
SIM.outputDir   = [SIM.rootDir filesep 'Outputs' filesep SIM.case];
SIM.logfile     = [SIM.outputDir filesep SIM.case '_Log.txt'];
SIM.matfile     = [SIM.outputDir filesep SIM.case '.mat'];

checkInpErrors(ANLS,OPT,ENV,BLADE,WEB)

if exist([SIM.rootDir filesep 'Outputs'],'dir') == 0
    mkdir([SIM.rootDir filesep 'Outputs']);",20.2
12,cochleagram.m,matlab,"function a = cochleagram(r, winLength, winShift)

if nargin < 2
    winLength = 320;      % default window length in sample points which is 20 ms for 16 KHz sampling frequency
end
    
[numChan,sigLength] = size(r);     % number of channels and input signal length

increment = winLength/winShift;    % special treatment for first increment-1 frames
M = floor(sigLength/winShift);     % number of time frames

a = zeros(numChan,M);
for m = 1:M      
    for i = 1:numChan
        if m < increment        % shorter frame lengths for beginning frames
            a(i,m) = r(i,1:m*winShift)*r(i,1:m*winShift)';
        else
            startpoint = (m-increment)*winShift;
            a(i,m) = r(i,startpoint+1:startpoint+winLength)*r(i,startpoint+1:startpoint+winLength)';
        end
    end
end",34.34
13,codeAPara.m,matlab,"name        ='SBBGK1d'; % Simulation Name
CFL         = 0.05;     % CFL condition
r_time      = 1/1000;  % Relaxation time
tEnd        = 0.1;      % End time
theta       = 0;        % {-1} BE, {0} MB, {1} FD.
quad        = 2;        % for NC = 1 , GH = 2
method      = 1;        % for TVD = 1, WENO3 = 2, WENO5 = 3
IC_case     = 1;        % IC: {1}Sod's, {2}LE, {3}RE, {4}DS, {5}SS, {6}Cavitation
plot_figs   = 1;        % 0: no, 1: yes please!
write_ans   = 1;        % 0: no, 1: yes please!
RRR=8.314;
P_deg       = 0;        % Polinomial Degree
Pp          = P_deg+1;  % Polinomials Points
RK_stages   = 4;        % Number of RK stages

gamma = 2.5; %1.4;        % Ratio of specific heats
 etpfix   = 0.90;	% {#} Harten's sonic entropy fix value, {0} no entropy fix
[MB_r,u,MB_p] = Euler_IC1d(x,1);
switch quad

    case{1} % Newton Cotes Quadrature:
    V  = [-20,20];  % range: a to b
    nv = 200;       % nodes desired (may not the actual value)
    [v,w,k] = cotes_xw(V(1),V(2),nv,5); % Using Netwon Cotes Degree 5
        
    case{2} % Gauss Hermite Quadrature:
    nv = 60;          % nodes desired (the actual value)
    [v,w] = GaussHermite(nv); % for integrating range: -inf to inf
    k = 1;            % quadrature constant.
    w = w.*exp(v.^2); % weighting function of the Gauss-Hermite quadrature
    
    otherwise
        error('Order must be between 1 and 2');
end


",31.19
14,codegen_LpC_lib.m,matlab,"function [] = codegen_LpC_lib(generateLib, copyHeaders)

arguments
  generateLib logical = true;
  copyHeaders logical = false;
end

global tiltwing;

rootDir = getenv(""GVSActiveRootDir"");

SimIn = evalin('base','SimIn');
tiltwing=SimIn.Model;

ARGS = cell(6,1);
ARGS{1} = coder.typeof(double(0)); % rho
ARGS{2} = coder.typeof(ones(3,1)); % V_b
ARGS{3} = coder.typeof(ones(3,1)); % om_b
ARGS{4} = coder.typeof(ones(1,9)); % om_prop
ARGS{5} = coder.typeof(ones(4,1)); % surf
ARGS{6} = coder.typeof(logical(0)); % ders",30.22
15,Code_from_Micheal_RJ_MCMC_t_disturbution.m,matlab,"function [posterior_pt_locations,posterior_segments] = ...
    Code_from_Micheal_RJ_MCMC_t_disturbution(Y,varargin)

Y = Y(:);

lrY=Y; %log rate of retrun
X=lrY; %save as X just as code is with X

count=1; %taking average at every 'count' i.e. count=5 means 5 day average
check=0; %check 0 means that we dont do an average portfolio step

editcompanies=cell(size(X,2),1); %create a blank cell for the titles of each series
[editcompanies{:}]=deal('Series'); %titling each series


X=zscore(X); %zscore standardises the matrix, by columns

likelihood='studentt'; %using a normal likelihood to descirbe the data

[numberofpara,paratype]=checkdistribution(likelihood); %check the distribution and create the correct parameter types

numofclusters=1;
currentcluster=zeros(1,size(X,2)); %allocate clusters for each series
currentcluster(1,1:1)=1;


N=300000; %number of MCMC Samples
burnin=N/4;%N/10; %remove the first (N/10)/((N/10)+N)) percent
T=5; %Number of samples before we save, i.e thin from the total iterations of MCMC
apprxnum=N/T; %number of samples tosave
disp('Number of MCMC iterations')
disp(N+burnin);%samples to be saved
disp('Number of MCMC iterations used as burnin')
disp(burnin);%samples to be saved
disp('Number of Saved Samples')
disp(apprxnum);
kmax=1000; %max number of segments are set to k i.e k-1 changepoints

unnorminglcl=[4,0,0]; %i.e 4,0,0 is only independent moves; 0,4,0 is only cluster
inglcl=unnorminglcl/sum(unnorminglcl);

resampleprob=3;
moveprob=3;
addprob=3;
deleteprob=3;
unnormijump=[resampleprob,moveprob,addprob,deleteprob];
ijump=unnormijump/(sum(unnormijump));

clmoveprob=7;
claddprob=2;",30.71
15,Code_from_Micheal_RJ_MCMC_t_disturbution.m,matlab,"hyper=[0,1,5,0.4,2,100]; %hyper(5) and hyper(6) are hyperparameters for unifrom prior on df

clusterprior=(1/numofclusters)*ones(1,numofclusters);

dc=0; %check which was the last independent function called
i2clcount=0; %number of times we do indep2global moves
cl2icount=0; %number of times we do global2indep moves

jacobian=ones(1,size(X,2)); %jacobian from having a deterministic reversal jump
if strcmp(likelihood,'studentt')==1
    jacobian=2*jacobian; %using v1=v0+u, v2=v0-u
end

[para,cp,~,clcp,icp,model]=initialisepara(X,numberofpara,kmax,likelihood,numofclusters);
if numofclusters==2
    clcp(1,50,2)=0;
end

t=0; % counter for the number of thinning
b=0; %counter for the number of samples to burn
disp('Iteration number:')

[typeofmovelist,vlist,vvlist,reassignlist]=listofmoves(N/T);

for i=1:N+burnin %from 1 to N+burnin
    if mod(i,20000)==0 %show iteration number at certain steps (in this case 20000)
        disp(i)
    end
    u=rand(1); %uniform random number between 0 and 1
    typeofmove=0;% keep track of the type of jump (i.e. indep, cluster or reassign
    v=0; %set v =0
    vv=0; %index of cluster selected
    reassign=0; %index of the series selected for cluster reassign
    if u<inglcl(1); %if less than the defined independent ratio, choose independant moves",33.76
16,coeffs.m,matlab,"function [c, t] = coeffs(p, x, all)

  if (nargin == 1)
    x = [];
    all = false;
  elseif (nargin == 2)
    if (ischar (x))
      assert (strcmpi (x, 'all'), ...
              'coeffs: invalid 2nd input: if string, should be ""all""')
      x = [];
      all = true;
    else
      all = false;
    end
  elseif (nargin == 3)
    assert (strcmpi (all, 'all'), ...
            'coeffs: invalid 3rd input: should be string ""all""')
    all = true;
  elseif (nargin > 3)
    print_usage ();
  end

  assert (isscalar (p), 'coeffs: works for scalar input only')

  p = sym(p);",28.24
17,coeffs3.m,matlab,"function varargout = coeffs3(f, m, n, p) 


if ( isempty(f) )
    varargout = {[]};
    return
end

if ( iszero(f) )
    if ( nargin == 1 )
        [m, n, p] = length(f);
    elseif ( nargin == 2 ) 
        n = m; 
        p = m;
    end
    varargout = {zeros(m, n, p)};
    return
end

[core, cols_coeffs, rows_coeffs, tubes_coeffs] = chebcoeffs3(f);

if ( nargin == 2 ) 
    n = m;
    p = m;
end
",26.98
20,cohcorrgram.m,matlab,"function varargout = cohcorrgram(data, n1, n2, opts)
    opts.dt = 2^-7; % s
    nlocs = 16;
    opts.maxlag = 10;  % max time lag, in physical units
    opts.winlen = 0.5; % window length, in physical units
    opts.overlapfrac = 0.8; % window overlap, in the interval [0,1)
    opts.inputphases = 0; % 1 if the input y is the phases
    opts.str_units = 's';
    time = 0:opts.dt:10*pi;
    x = cos(time)' + randn(length(time), nlocs);
    n1 = 1:2:nlocs;
    n2 = n1+1;

    cohcorrgram(x, n1, n2, opts)

    


    if nargin < 4
        opts.dt = 1; % time step in physics units
        opts.maxlag = 30; % max time lag, in physical units
        opts.winlen = 20; % window length, in physical units
        opts.overlapfrac = 0.8; % window overlap, in the interval [0,1)
        opts.inputphases = 0; % 1 if the input y is the phases
        opts.str_units = 'ms';
    end

    dt = opts.dt;
    maxlag = round(opts.maxlag/dt); % convert to time points
    winlen = round(opts.winlen/dt); %
    overlapfrac = opts.overlapfrac;

    if opts.inputphases
        yphase = data;
    else
        yphase = calculate_insta_phase(data);
    end

    coh1 = abs(mean(exp(1i*yphase(:,n1)),2)); % coherence 'order parameter'
    coh2 = abs(mean(exp(1i*yphase(:,n2)),2)); % 

    [cc, cl, ct] = corrgram(coh1, coh2, maxlag, winlen, floor(winlen*overlapfrac));

    ct=ct*dt; % back into physical units
    cl=cl*dt; %
    out.cc = cc; % Corr coeff
    out.cl = cl; % Lag
    out.ct = ct; % Time
    out.opts = opts;
    out.n1 = n1;",20.65
21,CoherenceBands.m,matlab,"function bands = CoherenceBands(coherogram,frequencies,varargin)



smooth = 2;
custom = [0 250];
delta = [0 4];
theta = [7 10];
spindles = [10 20];
lowGamma = [30 80];
highGamma = [80 120];
ripples = [100 250];

if nargin < 2,
	error('Incorrect number of parameters (type ''help <a href=""matlab:help SpectrogramBands"">SpectrogramBands</a>'' for details).');
end

if ~isdmatrix(coherogram),
	error('Parameter ''coherogram'' is not a matrix (type ''help <a href=""matlab:help SpectrogramBands"">SpectrogramBands</a>'' for details).');
end
if ~isdvector(frequencies) | length(frequencies) ~= size(coherogram,1),
	error('Parameter ''frequencies'' is not a vector or does not match coherogram size (type ''help <a href=""matlab:help SpectrogramBands"">SpectrogramBands</a>'' for details).');",27.39
21,CoherenceBands.m,matlab,"				error('Incorrect value for property ''highGamma'' (type ''help <a href=""matlab:help SpectrogramBands"">SpectrogramBands</a>'' for details).');
			end
		case 'ripples',
			ripples = varargin{i+1};
			if ~isdvector(ripples,'>=0','<','#2'),
				error('Incorrect value for property ''ripples'' (type ''help <a href=""matlab:help SpectrogramBands"">SpectrogramBands</a>'' for details).');
			end
		otherwise,
			error(['Unknown property ''' num2str(varargin{i}) ''' (type ''help <a href=""matlab:help SpectrogramBands"">SpectrogramBands</a>'' for details).']);
	end
end

customBins = frequencies >= custom(1) & frequencies <= custom(2);
thetaBins = frequencies >= theta(1) & frequencies <= theta(2);
deltaBins = frequencies >= delta(1) & frequencies <= delta(2);
spindleBins = frequencies >= spindles(1) & frequencies <= spindles(2);
lowGammaBins = frequencies >= lowGamma(1) & frequencies <= lowGamma(2);
highGammaBins = frequencies >= highGamma(1) & frequencies <= highGamma(2);
rippleBins = frequencies >= ripples(1) & frequencies <= ripples(2);

bands.custom = mean(coherogram(customBins,:))';
bands.theta = mean(coherogram(thetaBins,:))';
bands.delta = mean(coherogram(deltaBins,:))';
bands.spindles = mean(coherogram(spindleBins,:))';
bands.lowGamma = mean(coherogram(lowGammaBins,:))';
bands.highGamma = mean(coherogram(highGammaBins,:))';
bands.ripples = mean(coherogram(rippleBins,:))';",15.4
22,coherence_demo_gui.m,matlab,"function varargout = coherence_demo_gui(im)
    if nargin < 1
        im = fullfile(mexopencv.root(), 'test', 'img001.jpg');
        img = cv.imread(im, 'Color',true);
    elseif ischar(im)
        img = cv.imread(im, 'Color',true);
    else
        img = im;
    end
    assert(size(img,3) == 3, 'RGB image expected');

    h = buildGUI(img);
    if nargout > 0, varargout{1} = h; end
end

function img = coherence_filter(img, sigma, str_sigma, blend, niter)

    for i=1:niter
        gray = cv.cvtColor(img, 'RGB2GRAY');

        eigen = cv.cornerEigenValsAndVecs(gray, 'BlockSize',str_sigma);
        x = eigen(:,:,3);  % x1 eigenvector of lambda_1
        y = eigen(:,:,4);  % y1 eigenvector of lambda_1

        opts = {'KSize',sigma, 'DDepth','single'};
        gxx = cv.Sobel(gray, 'XOrder',2, 'YOrder',0, opts{:});
        gyy = cv.Sobel(gray, 'XOrder',0, 'YOrder',2, opts{:});
        gxy = cv.Sobel(gray, 'XOrder',1, 'YOrder',1, opts{:});
        gvv = x.*x.*gxx + 2*x.*y.*gxy + y.*y.*gyy;

        ero = cv.erode(img);
        dil = cv.dilate(img);
        if true
            img1 = cv.copyTo(dil, 'Dest',ero, 'Mask',gvv<0);
        else
            mask = repmat(gvv<0, [1 1 size(img,3)]);
            img1 = ero;
            img1(mask) = dil(mask);
        end

        img = cv.addWeighted(img,1-blend, img1,blend, 0);
    end",21.04
